class,eps,spearman,jaccard5,pred_preserved
DDoS,0.1,0.20384615384615387,0.42857142857142855,True
DDoS,0.01,0.3734817813765182,0.25,True
DDoS,0.05,0.3202429149797571,0.25,True
DDoS,0.1,0.4773279352226721,0.25,True
DDoS,0.01,0.26497975708502025,0.25,True
DDoS,0.05,0.1425101214574899,0.25,True
DDoS,0.1,0.30951417004048587,0.42857142857142855,True
DDoS,0.01,0.47712550607287446,0.25,True
DDoS,0.05,0.4327935222672065,0.25,True
DDoS,0.1,0.47449392712550614,0.42857142857142855,True
DDoS,0.01,0.49817813765182184,0.25,True
DDoS,0.05,0.5502024291497976,0.42857142857142855,True
DDoS,0.1,0.5271255060728746,0.6666666666666666,False
DDoS,0.01,0.32935222672064773,0.6666666666666666,True
DDoS,0.05,0.46659919028340086,0.42857142857142855,True
DDoS,0.1,0.348582995951417,0.42857142857142855,True
DDoS,0.01,0.7291497975708502,0.6666666666666666,True
DDoS,0.05,0.4461538461538462,0.25,True
DDoS,0.1,0.7510121457489879,0.42857142857142855,True
DDoS,0.01,0.44068825910931175,0.25,True
DDoS,0.05,0.5878542510121458,0.42857142857142855,True
DDoS,0.1,0.3504048582995951,0.42857142857142855,True
DDoS,0.01,0.6097165991902834,0.25,True
DDoS,0.05,0.43117408906882587,0.25,True
DDoS,0.1,0.5629554655870445,0.6666666666666666,True
DDoS,0.01,0.3672064777327936,0.25,True
DDoS,0.05,0.5307692307692309,0.25,False
DDoS,0.1,0.3661943319838057,0.6666666666666666,False
DDoS,0.01,0.7350202429149798,0.42857142857142855,True
DDoS,0.05,0.6601214574898786,0.6666666666666666,True
DDoS,0.1,0.6336032388663968,0.42857142857142855,True
DDoS,0.01,0.7188259109311741,0.25,True
DDoS,0.05,0.6823886639676113,0.25,True
DDoS,0.1,0.6354251012145749,0.25,True
DDoS,0.01,0.40607287449392715,0.6666666666666666,True
DDoS,0.05,0.418421052631579,0.42857142857142855,True
DDoS,0.1,0.43218623481781376,0.42857142857142855,True
DDoS,0.01,0.4297570850202429,0.1111111111111111,True
DDoS,0.05,0.34696356275303647,0.25,True
DDoS,0.1,0.3894736842105263,0.25,True
DDoS,0.01,0.8040485829959515,0.25,True
DDoS,0.05,0.6487854251012146,0.6666666666666666,True
DDoS,0.1,0.502834008097166,0.25,True
DDoS,0.01,0.36093117408906883,0.25,True
DDoS,0.05,0.41295546558704455,0.6666666666666666,True
