class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
Mirai,iat,0.0187278971610512,0.0351136725350086,0.016385775373957398,15,7
Mirai,psh,0.0180790435728423,0.0054660038802759,-0.012613039692566401,16,17
Mirai,syn_cnt,0.0174469516978987,0.0027898387922815,-0.0146571129056172,17,32
Mirai,ack,0.0168581654448438,0.0026393706478964,-0.014218794796947399,18,33
Mirai,syn,0.0166224122783066,0.0036980556110101,-0.012924356667296499,19,24
Mirai,fin,0.0161866706091017,0.0059782530701131,-0.010208417538988601,20,16
Mirai,fin_cnt,0.0160977645246477,0.003272551508359,-0.012825213016288702,21,26
Mirai,rst,0.0157796255192819,0.0048667396532925,-0.0109128858659894,22,21
Mirai,std,0.015711480461029,0.0194087398587043,0.0036972593976753003,23,9
Mirai,cwr,0.0144932011177339,0.0028812607037828,-0.0116119404139511,24,29
Mirai,smtp,0.0135853034913956,0.0012627498784248,-0.012322553612970799,25,38
Mirai,https,0.0127777193317807,0.0082866093522598,-0.0044911099795209,26,12
Mirai,ece,0.0108741502267136,0.0028537609166987,-0.0080203893100149,27,31
Mirai,header_len,0.0106181452841265,0.0115710694175645,0.0009529241334379993,28,10
